                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.80017,                   2.32,                 1.6546,                 1.0894,                0.76428,                    0.6,                0.69817,                0.46575,                0.71117,                0.51119,                0.56554,                0.41003,                 1.5972,                 2.6077,                 1.5773,                 1.3743,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.91046,                 2.6758,                 2.3141,                  1.243,                0.76428,                    0.6,                0.69817,                0.46575,                0.71117,                0.51119,                0.56554,                0.41003,                 1.5972,                 2.6077,                 1.5773,                 1.3743,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.89205,                 2.6091,                 1.6932,                 1.1589,                0.71594,                0.61667,                0.75478,                 0.4496,                0.66588,                0.51667,                0.62158,                 0.4272,                 1.5932,                  2.597,                 1.5997,                 1.3712,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.84142,                 1.2944,                 1.0471,                 1.1893,                0.71594,                0.61667,                0.75478,                 0.4496,                0.66588,                0.51667,                0.62158,                 0.4272,                 1.5932,                  2.597,                 1.5997,                 1.3712,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.77929,                 2.3738,                 1.4895,                 1.1043,                0.69664,                0.61667,                0.69986,                0.42902,                0.65177,                0.51667,                0.56665,                0.41074,                 1.5886,                 2.6086,                  1.641,                 1.3729,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.0885,                 2.5231,                 1.5333,                 1.2728,                0.69664,                0.61667,                0.69986,                0.42902,                0.65177,                0.51667,                0.56665,                0.41074,                 1.5886,                 2.6086,                  1.641,                 1.3729,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.79704,                 1.8222,                 1.2989,                  1.092,                0.67548,                0.61667,                 0.6934,                   0.42,                0.65586,                    0.6,                0.59349,                0.41513,                  1.604,                 2.6094,                 1.6742,                 1.3765,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.60027,                 2.0377,                 1.2107,                 1.0707,                0.67548,                0.61667,                 0.6934,                   0.42,                0.65586,                    0.6,                0.59349,                0.41513,                  1.604,                 2.6094,                 1.6742,                 1.3765,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.58942,                 1.7432,                0.99182,                0.96069,                0.71423,                0.61667,                0.69795,                0.42366,                0.67125,                0.60968,                0.59339,                0.41585,                 1.6111,                 2.6125,                  1.705,                  1.383,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.71681,                 1.8023,                 1.2155,                 1.0847,                0.71423,                0.61667,                0.69795,                0.42366,                0.67125,                0.60968,                0.59339,                0.41585,                 1.6111,                 2.6125,                  1.705,                  1.383,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.83967,                 2.6921,                 2.6994,                 1.2623,                0.78021,                   0.45,                 0.6942,                0.40931,                0.67291,                0.51667,                0.58437,                0.41431,                 1.6353,                 2.6168,                  1.735,                 1.3969,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0051,                  2.795,                 1.8051,                 1.3094,                0.78021,                   0.45,                 0.6942,                0.40931,                0.67291,                0.51667,                0.58437,                0.41431,                 1.6353,                 2.6168,                  1.735,                 1.3969,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.73178,                 2.0394,                 1.0655,                 1.1071,                0.90913,                    0.4,                0.65316,                0.39979,                0.68826,                   0.35,                0.54397,                0.39146,                 1.6175,                 2.6193,                 1.7792,                 1.3839,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.90741,                 2.2774,                 1.3149,                 1.2056,                0.90913,                    0.4,                0.65316,                0.39979,                0.68826,                   0.35,                0.54397,                0.39146,                 1.6175,                 2.6193,                 1.7792,                 1.3839,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.0612,                 1.9177,                 1.3009,                  1.264,                0.91126,                0.39989,                0.67937,                0.39928,                0.68963,                   0.35,                 0.5343,                  0.393,                 1.6339,                 2.6565,                 1.7811,                 1.4001,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.68682,                 2.0758,                0.87455,                 1.1281,                0.91126,                0.39989,                0.67937,                0.39928,                0.68963,                   0.35,                 0.5343,                  0.393,                 1.6339,                 2.6565,                 1.7811,                 1.4001,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63698,                 1.7022,                 1.3289,                 1.1161,                 0.9125,                0.39388,                0.67992,                0.39233,                0.75675,                0.32123,                0.52927,                0.38815,                 1.6565,                 2.6698,                  1.805,                 1.4093,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.68085,                 1.8819,                0.79131,                0.99482,                 0.9125,                0.39388,                0.67992,                0.39233,                0.75675,                0.32123,                0.52927,                0.38815,                 1.6565,                 2.6698,                  1.805,                 1.4093,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.59409,                 1.6208,                 1.3866,                 1.0385,                0.91754,                0.39205,                0.55809,                0.32291,                0.75525,                0.32225,                0.43901,                0.30723,                 1.6667,                 2.6563,                 1.8549,                 1.4087,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.84823,                 1.7734,                 1.1366,                 1.1039,                0.91754,                0.39205,                0.55809,                0.32291,                0.75525,                0.32225,                0.43901,                0.30723,                 1.6667,                 2.6563,                 1.8549,                 1.4087,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.55378,                 1.6987,                0.98701,                  1.059,                0.91791,                 0.3907,                0.61523,                0.33943,                0.75382,                0.31667,                0.49266,                0.32258,                 1.6686,                 2.6603,                  1.894,                 1.4118,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.52035,                 1.6241,                0.71197,                 1.0044,                0.91791,                 0.3907,                0.61523,                0.33943,                0.75382,                0.31667,                0.49266,                0.32258,                 1.6686,                 2.6603,                  1.894,                 1.4118,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 0.8945,                 2.1838,                 1.4585,                 1.1674,                0.91897,                0.39031,                0.51918,                0.29344,                0.75755,                0.31667,                0.40252,                0.27392,                 1.6788,                 2.6725,                 1.9276,                 1.4164,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.59533,                  1.952,                 1.0961,                 1.0168,                0.91897,                0.39031,                0.51918,                0.29344,                0.75755,                0.31667,                0.40252,                0.27392,                 1.6788,                 2.6725,                 1.9276,                 1.4164,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.61544,                 1.4646,                0.90112,                 1.0175,                0.91885,                 0.3902,                0.51896,                0.29332,                0.76215,                0.31667,                0.40229,                0.27425,                 1.6826,                 2.6758,                 1.9475,                 1.4152,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.86538,                 2.2176,                 1.4988,                 1.1923,                0.91885,                 0.3902,                0.51896,                0.29332,                0.76215,                0.31667,                0.40229,                0.27425,                 1.6826,                 2.6758,                 1.9475,                 1.4152,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.61513,                 1.6087,                0.81622,                 1.0378,                0.92014,                0.39043,                0.50323,                0.28031,                0.76267,                 0.3086,                 0.3894,                0.26204,                 1.6892,                  2.678,                 1.9706,                 1.4172,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                   0.82,                 2.0893,                 1.3346,                 1.1721,                0.92014,                0.39043,                0.50323,                0.28031,                0.76267,                 0.3086,                 0.3894,                0.26204,                 1.6892,                  2.678,                 1.9706,                 1.4172,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.73607,                 1.6541,                 1.3845,                 1.1023,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.63499,                 1.6388,                 1.4015,                 1.1179,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.71392,                  1.922,                 1.1721,                 1.0903,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.71128,                 1.9757,                 1.2243,                 1.0695,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.70171,                 2.1449,                 1.0761,                 1.0431,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.66157,                 1.7058,                 1.0875,                 1.0325,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.76212,                 1.8144,                0.99327,                 1.1524,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.64721,                 1.6933,                0.71566,                 1.0267,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.65144,                 1.4254,                0.79228,                  1.045,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.56059,                 1.3533,                0.91177,                 1.0137,                0.91586,                0.39038,                0.46861,                0.26285,                0.73474,                0.34261,                0.36753,                0.23617,                 1.6923,                 2.6975,                 2.0379,                 1.4207,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6077,                 1.8228,                 1.1131,                 1.0457,                0.91586,                0.39038,                0.46861,                0.26285,                0.73474,                0.34261,                0.36753,                0.23617,                 1.6923,                 2.6975,                 2.0379,                 1.4207,             2.8988e-05,             2.8988e-05,             2.8988e-05
